ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-03-10 09:55:27-05:00,5351316,eAXzwwppBRTsEa7YWMBRhgrDHZ1NgBY6HTGYnn8L5NH,77zyuGe7LXmWxJANxsxwxfidJKaAxfQTmVXogwDcUFav,PositionDirection.Long(),1175693044966573,1989691800,169191819933,169279497095,1989691,0,0,0,False,8,169047483000
2022-03-10 09:55:27-05:00,5351317,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),6474112745691748,923519086,14263620922,14265974573,923519,0,0,0,False,6,14256273800
2022-03-10 09:55:27-05:00,5351318,4ujVHxUpCBvoCZch6AGMkyfJPUrhWvuP45iucYpLR2No,45ALv9UKG881tbdJmA1keJziuAGugL5jNSv6LTXUDVXA,PositionDirection.Long(),134118625415954,545125000,406426355490,406473417711,545125,0,0,0,False,11,405143000000
2022-03-10 09:55:27-05:00,5351319,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Long(),290913482380675,2393561800,822686047456,822862858857,2393561,0,0,0,False,0,822163200000
2022-03-10 09:55:28-05:00,5351320,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),69964380634201,716800858,1024435687451,1024609424015,716800,0,0,0,False,12,1024488070000
2022-03-10 09:55:28-05:00,5351321,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),319905414122121,900480479,281462431728,281504271387,900480,0,0,0,False,7,281376230000
2022-03-10 09:55:28-05:00,5351322,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,8aWL3kVkJNcKuE9gkcrGf8Ewr7gv9ZKJdueBBjvfWkKH,PositionDirection.Long(),109952552705652,1069564340,972715462567,972786145875,1069564,0,0,0,False,3,976608480000
2022-03-10 09:55:29-05:00,5351323,LovffUMZGTniMyci8dJ9N1HhPem1kdTJFtQn8AykWyZ,2ne6tu3DkhkmhjtiEmL1quLRFsvXSnbW6cU2i8wdJjmw,PositionDirection.Long(),591928321720407,5759323200,972786145875,973166801079,5759323,0,0,0,False,3,976635260000
2022-03-10 09:55:29-05:00,5351324,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),299701569547671,42755513,14265974573,14266083543,42755,0,0,0,False,6,14257482900
2022-03-10 09:55:29-05:00,5351325,9PXbLdyXKuU831N9rFCDHNbmv6cMJiSjFdbZcaoX4rRt,7NhqHa3odHgW67kTGbKwdqKkS9fZ3hm7XhfXWYqfYyq4,PositionDirection.Long(),533797392592808,76152500,14266083543,14266277632,76152,0,0,0,False,6,14257482900
2022-03-10 09:55:29-05:00,5351326,AnsdDByYT8ZF1gUtB9wbdDM9aPb4pbe5msnhJSMcyyPP,268YXLhoGGQfZcEqcM3bCQCf31vopnt2JybPxa36aMNP,PositionDirection.Long(),1698242554189310,242281241,14266277632,14266895141,242281,0,0,0,False,6,14257482900
2022-03-10 09:55:30-05:00,5351327,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),39984833200336,112560059,281504271387,281509501563,112560,0,0,0,False,7,281380850000
2022-03-10 09:55:30-05:00,5351328,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),112935481630681,822429835,728198068823,728261537857,822429,0,0,0,False,4,728157100000
2022-03-10 09:55:31-05:00,5351329,F5BMRPmj54MmKRvmmhYETmfyhBYjiJo3qzM5YZpQnCup,7gWxZS93DXQCTxwvynyyArkSzGdcDyHZXNDyLmXN4JaH,PositionDirection.Long(),161227961653576,453889033,281509501563,281530592304,453889,0,0,0,False,7,281379460000
2022-03-10 09:55:32-05:00,5351330,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,8bNgszva9WwD8JzcFezPj2hWvHNNAfdNoncAuEsgvSXT,PositionDirection.Long(),229751470989623,1673339945,728261537857,728390682360,1673339,0,0,0,False,4,728265180000
2022-03-10 09:55:32-05:00,5351331,CmK69Pq5GuvfTstgb3DMo91aakRcWitxdLr4TUMj89Vq,5MZF9spfQyBngafe6bJAZ68dSaJDmVeFW3anmVimssyk,PositionDirection.Long(),6991877311238,68042786,973166801079,973171298726,68042,0,0,0,False,3,976643320000
2022-03-10 09:55:32-05:00,5351332,9ikWQfHTW1bmPjo4AYdkkHv1oTkyVcwnTRgXKUeFuwUx,8uZ9n9kekfcpwnA6b6hMs2TWF7R9RCLQWvJFqFDAUP3z,PositionDirection.Long(),6991842839454,68042765,973171298726,973175796383,68042,0,0,0,False,3,976643320000
2022-03-10 09:55:34-05:00,5351333,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),5093295513456709,375241369,7366980084,7367738076,375241,0,0,0,False,10,7352529800
