ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-13 20:02:46-04:00,318486,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,0,111641345441466,-54016785652540921,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:02:46-04:00,318487,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,11,4600604020941,-814634978124810,113850590002818,1647212445,114415334231151,114415334231151
2022-03-13 20:02:46-04:00,318488,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,1,123832435532675,-73132382510319,484857985971304958,1647212414,1036684273559063068,485027312378133291
2022-03-13 20:02:46-04:00,318489,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,DNRyxQcKJ55jxkRNQmSAgw8unUwuqvEr8fHP3YegDKZq,3,11140916480251,3095625545889931,-250905046517053,1647212414,-251264938768719,-310262157560297
2022-03-13 20:02:47-04:00,318490,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,3,-2338981794301,-649911684253824,-309902265308631,1647212414,-251264938768719,-310262157560297
2022-03-13 20:02:47-04:00,318491,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,8,2117542791216,-3240146572878640,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:02:47-04:00,318492,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,7,3681787173866,-2151469746199177,262512548642314,1647212401,265133822137622,262683677573147
2022-03-13 20:02:47-04:00,318493,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,8tybPKPVAEkRbUcytVhpxgQmPxu6ruUsfACGNyj2w2MP,6,4692441337300,-40800360815346665,11556821615764,1647212401,13783528840526,11568322595764
2022-03-13 20:02:47-04:00,318494,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,1,14732235967796,-8700495240965,484857985971304958,1647212414,1036684273559063068,485027312378133291
2022-03-13 20:03:09-04:00,318495,4CwxH6JqYbZAXYEH9rcn1DddoMxdArNQt4vkynwvBrej,HXS9ewmRcpKZ9GCATcLYVyruCkMihcGjFdeGuycbNy2z,1,-44029472089347,26002720375438,1036514947152234735,1647212414,1036684273559063068,485027312378133291
2022-03-13 20:03:12-04:00,318496,5KGwoXu1o4hv3bgrgXxCmGxgHL9yeM9wZYMmaB22Skha,ABnfzv9e9X8K8X9b87nJr4CrAswdbg6QzTv3y2DDp8cp,10,1794245245261,-39166157452771978,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:03:46-04:00,318497,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,3,35009213588783,9727693059997831,-250905046517053,1647212414,-251264938768719,-310262157560297
2022-03-13 20:03:46-04:00,318498,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,4,10284088848847,-3549127982673222,100299804354819,1647212404,267196998837409,100589568175652
2022-03-13 20:03:46-04:00,318499,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,0,7658842859959,-3705670793172636,496088184883294,1647212412,1567724573766603,496294863870377
2022-03-13 20:03:46-04:00,318500,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,1,11120463554663,-6567471526126,484857985971304958,1647212414,1036684273559063068,485027312378133291
2022-03-13 20:03:46-04:00,318501,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,2,-3059595,55030133,50357434003836872,0,50362993859060205,39806259667799374
2022-03-13 20:05:35-04:00,318502,6o4KiGLxbbvSfMzuqUcmMu775vNmZaAQdP2nrhd4JCov,BCmbLRDEX9bckc5JVQoEo9ba8qnXa7E6GHyT8yyoTGbs,0,148147279620603,-5655715237845966,493675437796213,1647172963,1567724573766603,496294863870377
2022-03-13 20:05:35-04:00,318503,6o4KiGLxbbvSfMzuqUcmMu775vNmZaAQdP2nrhd4JCov,BCmbLRDEX9bckc5JVQoEo9ba8qnXa7E6GHyT8yyoTGbs,3,150496058112665,2110000000000000,-244132424166223,1647172806,-251264938768719,-310262157560297
2022-03-13 20:05:43-04:00,318504,AwohRPFUexoCVn9uwgfER5B9SYTLKwf9bbZxvspeVo2S,29oDU8LjBfnM3Xd68VeDbmJWAPW9LAZJok6dT2oMPyjy,0,-1471424540832,711937174455957,1567517894779520,0,1567724573766603,496294863870377
2022-03-13 20:06:09-04:00,318505,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,11,82299051316159,-9050000000000000,113505952448652,1647208869,114415334231151,114415334231151
2022-03-13 20:06:09-04:00,318506,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,7,45599248508240,-14000000000000000,262357968655231,1647208838,265133822137622,262683677573147
2022-03-13 20:06:09-04:00,318507,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,10,34797546872400,-390000000000000000,2406039492382,1647208937,2414961940298,2414961940298
2022-03-13 20:06:09-04:00,318508,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,GvLrBW8wwKJZ6CZnyjvmtPMnfjWj9bdAjxJZ7iVQJbwo,6,37853168790400,-190000000000000000,11548399875348,1647208852,13783528840526,11568322595764
2022-03-13 20:06:30-04:00,318509,7fEmrbgYrxgcdpjPFmvpK3DXPE2geDPxKULsaLJ16nYX,5dNM8dER6PPxVAkKXujDPqvzAsYEQdwAedyhBTpge8BK,9,-1275104476295,24935813821239244,1742106055298,0,1747219601964,1747219601964
2022-03-13 20:06:30-04:00,318510,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,GTCnYowNfhKneVu7BHYwnGZ2v65YV4jqZvDi8VShij5,7,981266872,-573407937458,262512548642314,0,265133822137622,262683677573147
2022-03-13 20:06:30-04:00,318511,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,GTCnYowNfhKneVu7BHYwnGZ2v65YV4jqZvDi8VShij5,8,1364310989,-2087593032912,94092985868354,1647212402,174605454771449,94158339170854
2022-03-13 20:06:30-04:00,318512,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,GTCnYowNfhKneVu7BHYwnGZ2v65YV4jqZvDi8VShij5,9,258542020466,-5056021531692761,1742106055298,1647212409,1747219601964,1747219601964
2022-03-13 20:06:30-04:00,318513,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,GTCnYowNfhKneVu7BHYwnGZ2v65YV4jqZvDi8VShij5,10,15415344,-336497937293,2410380829048,1647212400,2414961940298,2414961940298
2022-03-13 20:06:30-04:00,318514,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,GTCnYowNfhKneVu7BHYwnGZ2v65YV4jqZvDi8VShij5,12,1098603289977,-200226640194053,96490233671367,1647212401,111427332961218,97038913551783
2022-03-13 20:06:38-04:00,318515,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,9SLJ4kHG7oGfxGG929V57TXSKbQGtkqBJHh3Qag9asay,12,1102144767090,-200872094354011,96490233671367,1647212401,111427332961218,97038913551783
