,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
32,FWnftuAeU86mR8RMR9qQwLfkujqcfzEiupBPkvWre3RS,Ggjn39zkoAcCcmDmmzqYw8RFsMqjQGtAX8myhB3p4WQ4,,,,,,
33,EBWD5FcQjmXDTRXorEpANNiPj3AnCTZWXuXQS9Cdfm4g,3nY1GdTxZLu5vBVWHC5CVeaLwZs9jpfyFP7H1JNcFLxJ,,,,,,
34,G6x862hmMJ2PLpyyPDwVPGapXjvEeNkqFRTAS3jWVozB,4gzW9gBbEMnNm1epY6MMJ1XfxGMtvn2mKFyKPQ2Gyb79,,,,,,
35,H4RWmEeq1C4hCjrQZRMJq2qbDPWJW8rL7JAeuEhQgVFD,Z48heJ1SWkkQJg78GC8WYaNYBTMrcoh15r6C7veFAKj,,,,,,
36,AFPN56hj3tAypBxncoG46we59vGJ3eUJoehRcyAj5xSW,9p9D4wYFW1YsrBdL4rsVsjfVoteXcbR4HGABhzthy7wS,,,,,,
37,CrHM7pakHg41427SZnjMbMMCw4L6tdqhKi9oxRZFQ1od,EEuvkySmDCGuKxJkc8Edk7GVhSTBTV3mXbdG4KBfVLMM,,,,,,
38,C3mhEyMDMVUjGWQrZzvSGNuJD3KqQGZZtAQbBKFTeB8K,By2EYrEg5PSxG8F7FGMDN7qhJE9LKbxr2vKbvSa98Y9N,,,,,,
39,FZatfsn35qzrH2WfTEEMoXWTZ46LTe4YmzdzptLtLG9x,HE43CHqwJ7km9UJmQsrtUDmLGTLkpjpKLuui1yToFdPW,,,,,,
40,6YVCWznUKheSMPuywSRJgCes7wghPGJXgxfrVfnjN4mB,DSEgVqfxXp5wxjn3gNZtmb4E6rJeBm3VcbqdwDnsuzSq,,,,,,
41,7eJqFWJw2gCNQaLdzAf6J8LdiUBCbJoujAcZ4wCTrznN,Ccy6CufVnwpHKQ2J6D5BaGJm7MUpqpuVDFN5s6FVGQR1,,,,,,
42,CMDmLrtLDs3AytntRG421CMroRk7qL2EKzVktLGUZsqW,5WaTZVi4tPPHZ8he8xWoXpLd5Yva6wVcmfxu8iXGNku,,,,,,
43,HpP2yxq3KfYByT4q4p2mLaELnPdW6kmEY9EqZaBZuUNR,3gdApRPkUGEqmLvTYf4WQJCnmTVmiEU2wCQG26QMpqKf,0.0,0.0,0.05,0.0002860325534,14.56596110357949,174.8052779505761
44,4fpsMYna37Rqm17Xth1ZBb6BY3YUrnRZfLbFaR2LKBQJ,EfD1G9vgYNFSZz9P6tfm9kXfJPL2VFKxQ9mD6PJnFpeQ,,,,,,
45,5XtcrTwydygp2Z1ZqJSQ7FmLKqpKUCxciw5GgAzfrUMh,5GmtnwTrHRBaMm4irV3exj3MfaP3zPs2iMyAeDcXyn9r,,,,,,
46,6Ett2WPmz4HoWVSVEZD73UzFetd3oFSh7C676MEVYd36,Fn6J1eMQJoA5rXCwX2HjAF86AowsJfULLuYXVfzgb8aX,0.0,3.0,726.6,8.0186972732481,-2.14634018842076,90.61322247743108
