,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
12809,H69q3Q8E74xm7swmMQpsJLVp2Q9JuBwBbxraAMX5Drzm,2881.881,-39099.55,20983.457,41981.431,inf
9502,4ujVHxUpCBvoCZch6AGMkyfJPUrhWvuP45iucYpLR2No,9888.154,-4000.0,19752.361,13888.154,inf
11521,HSH3LftAhgNEQmpNRuE1ghnbqVHsxt8edvid1zdLxH5C,14736.974,6100.0,18404.641,8636.974,1.416
13594,GQmAKyJBTjDhfECzSTj2n2URTPcEeSMErUxAEg2DpEEK,258217.19,-185531.375,17859.014,443748.565,inf
2331,378AUvZHMiHhGjkggpVvM6maVCdV2yEAjNjbBeZ9uYMG,8053.04,787.0,17717.363,7266.04,9.233
12450,DRifT3nJiLPv9FXjDBBDapL6zCxbUgX5uNyW3mrSv2UG,0.009,-15106.42,17270.251,15106.429,inf
51,ESnsQpC2TuX5FwnW1pCtuRup53apouSrS1FTUSTArZ5c,0.007,-482.53,16804.436,482.537,inf
5978,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,65143.018,15826.0,14167.121,49317.018,3.116
1314,5TQtXo8WYPa3m23ncC7hXQxE35c7Jt4ZXnVp1fr2Aw7A,8654.249,3750.0,14079.121,4904.249,1.308
11152,9PaH4MCn4Pj2nhx1Ws3bMb1KBZ1yUBCvF3H425bWAPHe,161.446,30244.44,12886.532,-30082.994,-0.995
13178,4SgVHYsMDJJPjZJHSbT1hL8VLQ7S2YJHzFpfYRxzBaKh,26012.279,25500.0,12803.103,512.279,0.02
10924,HqTjG2TYD1XduNxJu9xkWf9cbTUZQXgodZTgQEykyvpS,157699.526,250132.0,12534.305,-92432.474,-0.37
4759,D2Suy1ThFuJTHCvb46yDyBMP2cBEYhbBRmUWkr9qLto1,20364.546,-14676.85,11671.602,35041.396,inf
1143,CnCR7sCivYqgRiT2j2mjETnCRHg9KCqFyoVFLd9C1mQY,44939.916,43994.0,11625.748,945.916,0.022
5312,75rU1QfsW4hda3MfhqGSEZDeZ1WiCQqKaUErZ5FJNr9U,0.008,-635.46,11110.072,635.468,inf
827,9JYkdQkHpsKvahhLjrdPevjQ9YR5WhirDc8N7imwT7P1,0.0,-1964.52,10938.414,1964.52,inf
12540,6btFrSpDoGYzifcGxmuesXgHgwvcczcYUdx8CijcDeez,4492.293,-5430.0,10604.519,9922.293,inf
5246,5KGwoXu1o4hv3bgrgXxCmGxgHL9yeM9wZYMmaB22Skha,15033.733,12000.0,10262.73,3033.733,0.253
517,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,13227.097,-6568.57,10058.721,19795.667,inf
8901,GJmom1dyridk7QkcvxYr1jUeQr6sT5yMnmQ6LJEqSq22,10019.677,62989.32,9955.334,-52969.643,-0.841
3458,6RicHPpU172jK5bUAkydRb5DsKWpDPtwLPrR7UgXfUX1,1695.861,60000.0,9218.094,-58304.139,-0.972
12456,BdK5yp3STuVc89QFimzK56T8cRmucTVYsTbmENfZqk12,8195.036,3000.0,9153.838,5195.036,1.732
228,K1MnQj3TvP9LDEQuVj1mtVALd3jDZf9TDftytJ1TrUK,9415.385,4491.0,8924.835,4924.385,1.097
14235,PMxN4d6u1Tu7Qczks2bZcati2aLUHh1V599fo9dDhNC,8170.315,3600.0,8362.899,4570.315,1.27
2451,6KGKhfpWXmDyPbXsBbisR5XyebepKXaK9DQuxu3zHVY,0.009,73017.9,8180.801,-73017.891,-1.0
6132,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,3882.956,2374.19,8092.451,1508.766,0.635
7944,5vTDDBPqoopBZTe7JURTRSyZvtDkKG33Bkn9raMD5QUb,61745.704,65413.0,8001.874,-3667.296,-0.056
6712,3a5yxcHXbWLGfnoaVTSUFhNerL97sm7K4axe4Pr4ftfz,1231.259,-7328.823,7922.074,8560.082,inf
7946,FTxtGRw4vNScb6Kyg1fJGcBmdujJywGuhLkfPy8amqTi,0.001,-25170.44,7786.957,25170.441,inf
13226,9pGqJ1T3HKeMopDMhSARDDAyydK3MRomqbBnUrxxq4Cz,13030.313,10000.0,7481.403,3030.313,0.303
9954,DfALqn81JH4JiyA7bDhePeXSeqXf3314H5YnPJo1ymmt,33588.708,211673.0,7436.227,-178084.292,-0.841
4707,HCJZPsDEUUT3BBf5rGmr2jcroiyr5L2AudRJBLRgSiAd,122656.222,100000.0,7364.189,22656.222,0.227
13694,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,0.01,-29520.88,7038.828,29520.89,inf
12802,DrifTBDEyRjE8LTpSnyPEwb6NwvRUUXBr5KvcuBtqzzr,30835.031,30000.0,6836.511,835.031,0.028
3262,DnkhHbgvf2ztxoQGEf3uUfE2evKm8jZCF8Ygt8SVNFYY,12945.671,13800.0,6798.533,-854.329,-0.062
6810,3sJpudtTsrXdQPKyoKtZLAiX8nskkGrc13ux7EzYHet5,1044.672,-8692.083,6658.384,9736.755,inf
2460,C4zPb1U2CrEGWZee7Dy6HAX5kMLddtuPzqvTW3Z93AWG,11061.049,10500.0,6392.421,561.049,0.053
10036,2k7SwgVwjdfCmTpSmzSAe91nmJko6e9jjdLvQKN222r8,7907.106,5750.0,6350.178,2157.106,0.375
9686,2yH4iJWVSDWHGjm5J95sbsRbHGA81VNPaox8xz8DWQaG,1452.173,9911.52,6325.567,-8459.347,-0.853
284,Fohs4ud9F8mK96naGxFFAHsM6tFw2a5BxP4EyVFRrzUo,7748.299,4500.0,6231.644,3248.299,0.722
4188,bRjBuWTsf59CLaU1GXgyCVEUYcvLGNkaAPdFXeFjrUN,12651.781,5300.0,6193.779,7351.781,1.387
1866,85NM1BU9LMvCkZeMgMkaMgabXH6NsWuJxRTEAV7sqmqr,37018.419,-5118.0,6124.847,42136.419,inf
7272,DpHu9SpUncfZjwDqHvD2veKj2sHXxTKey37ASKACFtyH,1268.455,-6407.264,6116.99,7675.719,inf
10347,26LUcyMpnrtFF9vBFZ53cAsLvwJfzSfen75mK7FrQada,73163.941,187481.38,6013.461,-114317.439,-0.61
7370,7RHNnuw1ieKfACoTy36wQwug15f5NHBe19hdrtQeAx7y,0.139,-5315.31,5882.698,5315.449,inf
1102,B8cdnwpy5FdDRNX2Wp5Zeux95e53A9cUfdHd5MEdPdTz,8211.766,3800.0,5732.643,4411.766,1.161
1841,DvkTsBqbTRnJCnyw6Jst9tqMHpZnivXwoFcqDr7bXE3H,8056.247,6500.0,5692.909,1556.247,0.239
762,Bj15AJxC22vM6iTBpGRZKXw1Ftc8zNvJaRpjKcmrbJTi,744689.228,762995.0,5596.415,-18305.772,-0.024
8343,9R52LDEW4iXndDw1WuVKCCEdJ4fD1n43wwUDGgVZbf1Y,0.004,742227.24,5494.632,-742227.236,-1.0
12997,2LtdXY347HxPdwGivppJVyd3QXgnkpNGjmbKwRZ22VHj,480103.42,647485.076,5290.344,-167381.656,-0.259
4806,HrUr1pRxqXJ72RaSSdv4GXbRWLW32EWgjEtt6uiaQp9v,112062.424,-5113.47,5277.145,117175.894,inf
13188,9QJo9quCaFkTL6ZneNxMKmQMKRM4jMrowVQZgJevsvG1,13472.467,10000.0,5089.463,3472.467,0.347
9542,HvyrKkodu8B7zP7SHD3ch2PqGixTdYbibK9DadXkrucM,1155.866,-3732.634,5082.259,4888.5,inf
10232,6awBoNbzNwFkz2SbJqgWWfksY7YZxii4BBtcE7Yzb6wN,974.02,-6228.14,4788.011,7202.16,inf
14094,8RcYLmYTfM9ZDc6PfMwWNyP6kMR3iQVe1LG4oki9vPyY,1270.877,-8100.005,4780.407,9370.882,inf
8039,EQtJKfMjVmSoAwv9q5D34Do1YmSBxjsveMisDQT97nQM,1265.309,-4619.919,4719.698,5885.228,inf
1664,D8EFF8AWToTTmBtmXBrKRd3GoRWwQKHYQtb1LDiWzRxD,37484.526,80491.0,4717.716,-43006.474,-0.534
13724,sBReBfFPVXc62zNuca1aATmhUakeQcz56Fuaf3VaFJX,73673.589,51372.0,4695.913,22301.589,0.434
8278,B6kjyqPBcgKR7yeBFnyvXeCuBuQFerxeXSB1FvcCQpCQ,366.361,-278.73,4532.642,645.091,inf
2941,6rgh53R9uuTNdknA9aXMKfkMmkzevzPneqCvqLZFPKQ9,387122.362,498017.0,4488.016,-110894.638,-0.223
107,ALcsCijmdrEJuvr2yckqFNoNKn41QvwftLjJfHkE6E9k,5125.671,802.12,4399.016,4323.551,5.39
11669,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,108878.429,150000.0,4390.331,-41121.571,-0.274
794,7vwhjQuEfy28GREsAfY6gwJrJSiP5Vv4dPmyRuJKURmt,160275.619,297142.0,4356.814,-136866.381,-0.461
12545,FJjUR8SK7SPpzLjDTENGeaKjcgvnZkQFJdq8nQf8JsuQ,121181.065,44763.0,4326.046,76418.065,1.707
2937,6gNiF839mJ4WE7SL9rBE9W9S46kdec2CvhBngPayfsqN,1325.206,-7499.897,4300.89,8825.103,inf
7377,CQbbxhXhP9hw5geiDsTKUZQzjDoq7Dq1iTJdbyTyKkph,49515.503,22208.0,4195.838,27307.503,1.23
1571,7Ufw4itivftynnniUB6ozo75CrV7gLj5VwApd9qWRKEF,241718.817,289723.0,4163.253,-48004.183,-0.166
6218,uLGchSyZJhYjyaNzmt1trPMSCjucAfZnxc2bVC51eAt,21871.205,10624.88,3897.226,11246.325,1.058
12789,GmNmPuPmwssvSR2DEkKc7EvH8NSs9q4uXoanncJV7N5v,5829.355,4996.0,3544.81,833.355,0.167
3104,5SeNtCBx15SLG7VHKh1g5Ntj3pBUvo5ik1RBMz6uWsD7,458909.308,384194.322,3527.416,74714.986,0.194
2424,BFZiaPZ67GDK55op7V1RrXjXyH9TawyFiaRG1pAvLZb4,0.002,-4296.91,3520.016,4296.912,inf
3024,GfzMQRsciH3ys41HmA6mSioZgevSyFT2rw8gGh3rFJjG,1339.851,-3737.488,3511.139,5077.339,inf
7831,CmK69Pq5GuvfTstgb3DMo91aakRcWitxdLr4TUMj89Vq,337.875,-731.12,3496.172,1068.995,inf
2787,EihnprQFteCGocFLE68JBri9vLos1R6rrFK6JWTAZPHz,1627.479,-240.0,3462.556,1867.479,inf
4882,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,509615.743,476000.0,3312.629,33615.743,0.071
11218,2Ce1w7r9HgoQvY8a2x7wKkgCiLSQxJ2u5tvB7gU2iKji,19658.798,171452.22,3193.376,-151793.422,-0.885
10016,FKoZwJ77pC3nitFFAksgHFu74WQsERn4hEtGKbDLoNtg,967.717,-2509.97,3160.921,3477.687,inf
10527,HSN7LcRvQhdZpE7KNuCEyfh1Vi1jWuD7H1cjAPRJ7GdL,19694.089,30000.0,3155.74,-10305.911,-0.344
7074,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH,0.001,-59708.61,3102.072,59708.611,inf
6072,aoaWyTouqhvNi4eMXb9F3K4cdEutWN4egubXqnCM15P,1759.388,-306.0,3093.075,2065.388,inf
4745,EiyJjAgBvVZpRC9w3kVDMEDrhCEMEZywuGUqDfG8jw5u,2.205,-3895.0,3025.116,3897.205,inf
10111,eaocTGzpzPzjuZQ89LtVJxEuNqYbWfSHi3onvRNdDEA,1242.367,-2195.2,2999.704,3437.567,inf
11196,G1avM7AyvLimcSD5cgW7vgSfvTJMq5tQtpvhipFXmRNV,903.936,-4398.47,2982.637,5302.406,inf
13774,96wuMnFTZiWGj53jVwc4G3XR3GGeBUURtTXeH4ZpMPqa,0.003,2080.47,2919.465,-2080.467,-1.0
14270,F144gtkJSv3mtmRzoBwLmVuyUbqLKQvvbNRruATCJpmQ,676.906,-1540.0,2832.795,2216.906,inf
11264,9LMgCjBUjBM22w3nwxUP3jSrDnpg6Xf7Umt2ZFzq7zJ8,996.788,-1603.433,2726.27,2600.221,inf
6737,4dzkadK1vdySwFKfPou8SUZhbgLLd1K2mew7uAcAjTNk,58056.686,192836.0,2693.587,-134779.314,-0.699
1422,5LGJvGBc51u77u1P4GjZa4nv1QXbRqBWYH6Mu5gzXfbF,1070.741,-1902.492,2604.854,2973.233,inf
7950,5FwkEeYEpHnCs5ZXTTXKkFHiCCzorDWspuDdXsXPQ1R,14327.97,82500.0,2576.901,-68172.03,-0.826
2881,EcrRsDA9VHZ5xGL96xbwuWjMKuucQh2vwNtw9xsj3Xh8,0.004,-32884.38,2571.394,32884.384,inf
3904,5MB1e1MJcPsGHhpLPEGsh2Qeq6feVACR4rP426GUR3so,0.007,-915.71,2552.223,915.717,inf
11203,6TzNdfiEiKzTh5MBbE2viQsfhihkH2dKkLHwtAXCieG3,8497.281,7500.0,2536.059,997.281,0.133
1812,EnWyeq6uuqbcNJ9rRxBmyADxFtJuJLqBEpZ5fCAuuA5r,65807.56,147288.87,2530.413,-81481.31,-0.553
2698,5wRQzyabqtB45KPmnsEBRJQkYDjnoWoPeSLkGx4qS5oh,91487.246,176894.0,2524.839,-85406.754,-0.483
3137,7RN7GrWsrtJ6hrkRRyWbB4tBxgEdxHXkVCYwUtR8ReBi,13115.009,4800.0,2501.573,8315.009,1.732
11047,9RHywwguv9yVRsNUYtrgccrYREsFjMZnhk3uYQMVGA5m,0.008,19431.35,2485.468,-19431.342,-1.0
13161,DXjrP452Xcgbc9KxawmA2kYBFxA8cjD4cKq681e72tFL,0.0,-4382.265,2479.892,4382.265,inf
2726,51V48WEtz4Dybf4Y5uWwRB8GcH7CDAPqq27x57zUmYN5,0.004,-61263.37,2479.825,61263.374,inf
7928,3pJYfZDNyqfY2zS1PucJYUfcXDFwExyyD1qRX2cbp36H,65707.669,61606.21,2440.04,4101.459,0.067
4800,6pUtYz474QrpATEZnfb3iFbTKYA65pNyKAo4TQZAjtqe,1271.109,59878.0,2405.821,-58606.891,-0.979
7510,J5gePeeyv2h1gynYSpCKboy9Wx7YyxVb6BQJrVXJ6P1H,135078.42,258962.0,2401.434,-123883.58,-0.478
5792,2Ga6hzy12f7oFvS1zSYvUmvA5fLWiNP9ep5q4NdruTci,0.001,-82.53,2399.261,82.531,inf
8123,H516pmwjngstZYyPWp429NcSMM3YLLDFd8dV7k6qcGJ7,1130.92,-1007.775,2396.969,2138.695,inf
11185,5UjqNduYDueZvYqJ29cWDV5no4KqnhPaoi2H2erHFy42,720.486,-2718.52,2395.691,3439.006,inf
5899,917KfR3c62e33U3yUWNtqi3AvuqTbcsSk61S78zEjunz,58109.468,58119.0,2388.38,-9.532,-0.0
13675,9LVUwUZAj1tVfFbxqyjfS73xNQbr9ACCt5Sf8sbzHzYR,151350.839,214767.0,2382.685,-63416.161,-0.295
