,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
9147,BoWSqukN26JQ1AkkfonXYeEee7YA9NZ3GSbRLdmCkfp3,0.009,-25.55,93.55,25.559,inf
12990,BMrN9bvArtaU6igniNFQVXbU8XH4XhCZL8CQiuJcNxjB,5266.401,1500.0,93.309,3766.401,2.511
311,82x7nfr1Hq3uG5VN5srbtuhELRyDgTZqC25WngRAPtH1,1493.256,1308.0,92.956,185.256,0.142
4131,CtBL9JB2x5rtg43cJbxKZ6caoHV1YDmQzr4mjRmbsod2,0.001,-1142.88,92.563,1142.881,inf
10169,3LVMtJhbsyki5i5Won785E47PyguCNGWuzUgxL2gcsvN,0.0,342.8,92.034,-342.8,-1.0
4726,86m3EiaumoL7jF7WTjuZ7hSQgpt4wBpVEZCDg4rSUjdZ,542.235,1000.0,91.772,-457.765,-0.458
6387,ASrkgcVQ9iMDvTbji6xdpzXU4G4hRNhZ4BzseVxGjDnp,0.0,-4065.0,91.564,4065.0,inf
13013,BZN4Mu8ioigvBFdjQHRGU4CBBsyA5Y47MFXHQZ4Ryn3z,0.009,-2865.93,91.18,2865.939,inf
12251,BJdS3TZLhUxMLbieikovRwzeTtTRvGYaWWfsCeQYVKY5,0.004,1896.7,90.189,-1896.696,-1.0
14237,9sDWTvMfmRw9zDUZ8ufsgpEBZ7QNMoW3cnDsmsdtvxD,0.008,125.39,90.036,-125.382,-1.0
81,2pb93SrhYz7yjR9kg46122m24pxtVDcMRDxzDZ52vbC8,0.006,150.48,89.733,-150.474,-1.0
1802,GSaQj6w7ssfDpMGzMQd4pyhZvLeGvYc1Vc9Qcsx1t69g,0.0,1035.0,89.121,-1035.0,-1.0
4909,EAjzMjh5BqibBC8bkHtamRMeUj42kp6oKo1VYcVq1Nh4,6185.963,5700.0,88.796,485.963,0.085
8698,5qsUv9aZs6vFuGvbEg9Q5aDSjC1oETnRCxZ86bj5RgAu,0.0,10000.0,88.768,-10000.0,-1.0
12152,BxTkzdUiDLhF28A3qC2FabdWRAXkErTKY7n2v5458iNZ,0.004,154.3,88.42,-154.296,-1.0
650,E4fUmhYJBu7J5QzZATxYRpC2hj9uvf1TUQr9sLZK6GCz,0.003,-15427.11,88.382,15427.113,inf
7355,5DTutbbzG2oxhQUKvo17sPhRUW7egBPiwX7iCjKdyqiY,0.007,195.26,87.972,-195.253,-1.0
1472,FnBafLkPk9Q6bpU5PvgC47TvGeFoMGWL1boWCX3YJSWc,1589.458,1644.0,87.917,-54.542,-0.033
285,G61Q6YLA1GGPwZm6q59BrJmttyYPCAb6sBioP18Lojxi,0.009,6.13,87.468,-6.121,-0.999
11102,7mhEMbGEpSYgYoZx6WvApjysTxsPqpCDSJCmKF45x3n6,165.633,192.0,87.164,-26.367,-0.137
11463,4gAJHvEmgmcVUXTTcZZ3KM33CHWTEYRTtsAW7cuvRZLG,0.002,67.29,86.781,-67.288,-1.0
4590,8HHrUoqFRQSPyUtKoeoKkkUi6S7Scxd1GN2ec5NQrFgb,627.841,716.0,86.775,-88.159,-0.123
8909,3uUdWwgwtFdPa3FJTSrirqPKMtQb3zmT5Wpp4zPy9sJP,220.781,500.0,86.655,-279.219,-0.558
12625,JDwprv7jq1Hs515xcnrCEZrVAMXM1iPZzkErwGLurT8D,24819.505,29025.0,86.33,-4205.495,-0.145
7176,84SgzR8J6DeqPJ1uXphP1BHMotYGKh3kS4owMMj9x58x,0.0,38500.0,86.0,-38500.0,-1.0
7139,3cAE3Cvd4CaVxFbndohigzQdMMbyZVFvomYozmn4AiJi,10.0,97.42,85.096,-87.42,-0.897
11243,CtnUCTcUakqb5eA36t4W8aP3ECo9eMnTHr3EYoXDisDL,0.0,-100.34,83.672,100.34,inf
3102,2AAWghW6BUAFBtF3R6hB9uoqMc5oUDkU8FTd2JrXKema,78.436,27821.0,83.457,-27742.564,-0.997
5804,EFzBkpdvwKKLTUuxQJBk6y98DVemVZCE7ZhvzVSShYY9,0.003,176.6,83.29,-176.597,-1.0
2503,6dZS9h9c3o4Ezi21XcCuTj43yNED1h57jPsEy93nmhQq,188.487,443.431,83.284,-254.944,-0.575
864,7cckPAK7ymwDo2nSj2b56nKSy1mekGDxRu5Z1hoZqDgG,0.004,170.073,83.07,-170.069,-1.0
8673,29F8snwGbCmWZXrBBUQwd1UfQAdcuddH2pTEkYmvMRDk,0.005,718.5,82.699,-718.495,-1.0
6771,G2XEBsSnMxkXqoxMxkSoyADW4dzacHPs5X4h5rtySJFk,0.001,-470.33,82.476,470.331,inf
1389,2PYMVo7Jkaqn4pD6PWbdNKR9Qc49yphw7RYfJm51Gkvi,0.006,-498.76,82.003,498.766,inf
8,44WtEzBE6h2b94jeMnYyLFxpZYurCbSTCeZNzPn6Yb2F,1000.009,1344.98,81.917,-344.971,-0.256
12182,Aoiurpm7nGjSdcF4q5Q4dQcLiEnGsLenG1vtz4c6r7zL,0.005,297.32,81.638,-297.315,-1.0
4932,2g38vZ1ahYU4jd76AXksQfX33fJizFX3z9rdToQyQN6j,0.005,-367.18,80.917,367.185,inf
11645,DduQjHqCnYZfAYs3ECz8kEqCAcvQ8872Xn7BfC87FeBE,3466.962,1500.0,80.795,1966.962,1.311
3567,2dhhiH5woi7moNN2zJUikksQ1SfssaYkVxqwgAqwr2p3,3506.426,1500.0,80.333,2006.426,1.338
14197,8J4BZXZzkK4SmWxc2YoaJRg9ivuuXbdVe5XpEhVds1ZM,0.001,90.36,79.855,-90.359,-1.0
13992,DDysReDE59ZbHy538xXBAJd9yz7Hmfz4LYdkaAyS6Akx,0.003,-2315.11,79.693,2315.113,inf
7724,8w1hzDtCFuTJqWAtwihztrPzxwa7YrJH5uPk877SJnNj,0.0,948.0,79.604,-948.0,-1.0
9333,2rLWe1XADCU93guPU6WgSW6x56gYNfif9bm11V93mJnv,30.69,7000.0,79.138,-6969.31,-0.996
14036,7bZ7yLbiAvK7gWYoJC16tEzwL9NLmFMxdhRqYM3i7MBi,0.001,45.849,79.039,-45.848,-1.0
9934,Da67FSrhvm2VjFHD1eDUnYgj6FKezyzpnBYszCLBqemU,0.001,130.88,78.362,-130.879,-1.0
5932,D9UqfagwAQjJt8f7pi3UM2tdj7EeyFHtYi7uTzvnnMQM,0.003,6461.62,78.164,-6461.617,-1.0
10390,NbB9n1RBs26Hf5pY3upwVa1iwTYZL9DSEq6P96bLhDA,20.005,110.62,77.995,-90.615,-0.819
2335,H8jktXTCtNp9XKy87VcM1dxeM8ayJTD3NWX578zx3Pqn,0.004,160.58,77.53,-160.576,-1.0
2748,F5kwaVmEMvqZJVgDjMNuk5zNPWpvGs5MgWrRRr7pjvpS,0.005,-191.13,77.077,191.135,inf
10262,4VQVxuxriLW5GxWG1K481yVV1Qu665BgUxmZbUPkU39i,0.001,316.96,76.986,-316.959,-1.0
7166,3FJGwJZoissesSsr81cMMGMgzW25tSrfLxe15UGVDG2F,0.008,-5887.64,76.854,5887.648,inf
4194,CWPTwYXuWCS3CPUvtxPQ79z2aofkv13XE9sLah9ci6yG,0.009,3179.34,76.625,-3179.331,-1.0
3907,EAUFD16wab8qRMJ4H6updHGt4xFqgRCDeRHVCsLCTSTL,7.687,3675.56,76.287,-3667.873,-0.998
14502,4nwZMpX5DLCVdqchNmRyKbzV6bbJ2t1s6CL3o7gErkFo,0.004,-5951.11,76.278,5951.114,inf
9080,D7BeAetuWE7EwDZUSsVaZYeNhcXWqb3i1jFQ7rkM6via,5441.367,5000.0,76.2,441.367,0.088
14167,B2nFCBzpcf1ptxYz1qJhsvMi66FxVC9MRbmyE651zyvc,303.483,411.0,75.782,-107.517,-0.262
9450,CgugWftmwKdJm7p68ea4kCsrFYZW2steRETcjQmt768t,0.004,-22.652,75.717,22.656,inf
895,EijiDR9zwARB4RJhGK2mcoQxibNfh7kCrLwj9WNKpJ2J,0.006,837.61,75.699,-837.604,-1.0
2418,BgnsCfJ54ReunUtwPJLzkW4PWnqpBDWGNYxsW5PvDrbK,0.0,15000.0,75.661,-15000.0,-1.0
876,8SgQodss3XHuANaa2R8jkEhn8os7LdYmTBbzi7DHSq2M,547.357,527.0,75.534,20.357,0.039
5156,FPS25qTvdn5Zo1HjY3s79pZAT16RippAdNWdLZ65ysih,0.006,95.47,75.239,-95.464,-1.0
1657,Bx8Z57oNxkYuhAL3Tp5FgDvLG2pBhecZhDdZmZjeNLyp,0.01,946.58,74.785,-946.57,-1.0
9751,4sddeh7jt7Vpo9YQQJhi98KTHpV8aFGJ4Mdf7ek4QzhV,0.003,3369.42,74.743,-3369.417,-1.0
14326,2PS94D76WNetGuEP38AxX391WPwJR3Zn9DLinpaGmVDD,1524.99,1808.41,74.612,-283.42,-0.157
13111,3F5r54v3JkTsk2tHaEDL7dtU9JtidcayPeWweLN7htwv,0.001,104.39,74.013,-104.389,-1.0
6277,8NNXyYRX5uSu1fiA78UAqCJCy18S1EUGsgFqFoDRFHEZ,9783.106,10371.0,73.735,-587.894,-0.057
8102,HqbjKHcGHGWkmHL6dymsWKammiGJvZMZ1YxAbbJ3D2M9,0.001,-71.75,73.69,71.751,inf
2208,7Jbnaaga4qQ2dcxkG4zT5HfoVTQzXT7sDjqucPntZidv,0.009,31.13,73.689,-31.121,-1.0
11249,HWks8BmVUtQjho35H8LS6ntk2oj9pdTGcKAuo4LNmur6,0.006,-842.36,73.322,842.366,inf
8371,F5P1pq6ces5yWNd7eKyb8MQifYNx1B2vFx7vXmbvye3v,0.01,90.26,73.042,-90.25,-1.0
2048,D8BtQirMEk3W9Pq29B6KkKWrwPfmsUNpwz5npx7aGMLY,554.228,431.0,72.946,123.228,0.286
283,AVHevcJePj7LDmgqrr6cBE2vtj4Kk6Cb71kKNBtKhRxL,706.396,500.0,72.81,206.396,0.413
4406,GaEbfZhx6xDHvVhsm1eLH5qP1qRP5VyBP8p5HFA7wJqc,569.523,200.0,72.23,369.523,1.848
10404,FyTKneRWdtFCsCmjyu4EMMXUzahBE2iJa9oVP55NdR6f,0.008,4110.38,72.061,-4110.372,-1.0
12717,oSCossa8rHwKHcfBUsReFX4HzLoTe2gMT7Fr9EHWQsS,21451.539,20000.0,71.659,1451.539,0.073
21,9PgkxY9nqsnzrUMz6mqgYfUyb5VhDMSVqawKWT19xjwv,7224.635,10000.0,71.614,-2775.365,-0.278
10334,DBDrP15y9ZcjAiJ9h9pCNVY99v4YoCrvskfTowHP11r1,3303.098,4450.612,71.33,-1147.514,-0.258
12929,djW9rVm1v4nW64QiVqgFUCRza24VqthDcSfVEyRHPed,122.785,141.64,71.298,-18.855,-0.133
4871,Afki425byYCDDdB29HVWQTYNXhjTTE1oifVjuGHPDaAG,0.007,-862.88,71.23,862.887,inf
1482,ENfhJcrMjWtF556LjMSGFBwnEDB9EFpCq5WaMDbFUmmt,0.006,9.63,70.64,-9.624,-0.999
7354,GAFPDhrFKr2cgAbAADdkkjRvmCRFMTBi3TEjcvnKMqsA,0.002,-65.39,70.573,65.392,inf
8674,4x4dKchhgkjZiHY6LctV79HtFSZeptSkm2VhPWgCVcba,387.965,798.612,70.404,-410.647,-0.514
14285,CWbnQLqNQAjdReS7xwbget5x4LoieMRkC2WCu9c6jSSz,0.004,14652.14,70.268,-14652.136,-1.0
5300,GLXb8fHTTJ5njY9j1TzdSs98ZLfmy1QWwKLVHeiwiHhZ,666.311,1057.67,70.099,-391.359,-0.37
7443,CL6fgytwKTdnFQYQBUPwwe1FdTQbYnNtYb5G8Sr2Cj72,507.481,568.37,70.082,-60.889,-0.107
6946,Agtg4jXpvBJaaGHLsZimGcQBViF3Z2i4r8payNtmj2G,0.008,17.5,70.057,-17.492,-1.0
731,CxhHwFCiRRnaD7jMSLGc4Uc2VgmGqWxf5wrXYbbpbzg8,2830.954,1500.0,69.766,1330.954,0.887
6375,9EVZ7mjqfRzxfc8uEfXLzh1rEvxSzX3R8kSJ3McvHYjC,0.002,101.06,69.64,-101.058,-1.0
3028,rv6Xttg18pXeACygAr1X5kR9tBtoJZYkLEtuXiWaKDC,0.004,501.65,69.571,-501.646,-1.0
9977,5BQPf3WGPF9rg9ENfVrvcFWHZobgwK9uC9h1cfuiC7uH,0.005,-719.62,69.538,719.625,inf
10021,HLbkW7ugj6YAFzuQ6eAv1bcNBXgqzJPzr7GnLCQgtqLa,0.008,53.08,69.525,-53.072,-1.0
6555,76jq3MaZ5wKxejAEWYzREdTAUZzLvciNDBj7nHoqtjFY,0.007,2542.07,69.403,-2542.063,-1.0
1262,9DdU9JHhwh3NfHTgronheitSAW2ziGybGhFTuQFKAozU,1915.481,5728.0,69.035,-3812.519,-0.666
2135,Fn6J1eMQJoA5rXCwX2HjAF86AowsJfULLuYXVfzgb8aX,168.692,2008.0,69.002,-1839.308,-0.916
5672,HZ7AK8m2hQ5JSKV6dU97VJjKbhdAj91aLHkmckXGBam6,433.454,1500.0,68.809,-1066.546,-0.711
9853,5fFHzUXiAC5zv5D6iBuAojdRvqrVhqKC8PkQ39Q4fqFT,1905.772,5700.0,68.775,-3794.228,-0.666
6147,HmirSK1FKBLi66uqnCyuRSJvhhZktcUkXXpN7dbau6ji,1893.048,5700.0,68.769,-3806.952,-0.668
4636,WVWk7M57EH889TS2bXNKqaZWksHxv7qkfZknZAuaPKt,68.494,155.95,68.338,-87.456,-0.561
4128,J32skwxHXexfCdXPa8Kie5cptW1ZxGQ9JJ2kqfeySDPm,1142.521,1111.0,68.316,31.521,0.028
10219,6D6W5CURG5wirSNwnhKZ7EfytKi59TGf61TDGzWBwgsR,0.008,-192.36,68.057,192.368,inf
8000,GUfMuNowWgY6YJPLrVFFf7pDYk9VtC8ySnYqW2qneTer,58978.164,57842.0,67.755,1136.164,0.02
6689,EPYU9PJ9xP4JwT9sjXwwbJtqT1a7Cv5VxVoy4oAF2ykb,24.849,105.0,67.473,-80.151,-0.763
9752,babaTnviZLHfjwRK2ZCKJgMJNGeoZUQ55eZd6Zi37wt,0.009,94.88,67.465,-94.871,-1.0
6979,JCRBM15628MqfynUkRG3yW83d955p4ZzUeSPUGsjhL3S,0.007,-195.56,67.193,195.567,inf
9389,5FewDaMC9U7n5EHcto98GaAmDVxDh5SYimuTP6AtfakM,224.413,117.0,67.014,107.413,0.918
6949,F94WANLN1rxPwuvLdTriy8fQWkxcRWw6ZdYSvgjCSd9E,59489.19,59555.0,66.502,-65.81,-0.001
3056,GsMCsxjvzB8B8wWSJBruiDvwducKY5U6h5Knj3eW22Sx,0.002,-1267.11,66.298,1267.112,inf
4046,9WJBnVi84E926j7xEd566WzrZJkPJWRgmEnYj9vyjuad,27.977,426.0,66.062,-398.023,-0.934
11263,AAA85MGTh21eGPrg6Qigux56hj6UnZBX9Aez4cPcpj8D,0.0,1176.18,65.293,-1176.18,-1.0
372,DVUwfksDZozUmuMNtXkKf9zjrEyLUhr8osZvs9rXMLVv,758.615,881.366,65.273,-122.751,-0.139
6304,DTYa6C5FBkLdrQUwhqEYkUNtyNk3ytbHTgEn9t9tNqm3,0.009,68.43,65.093,-68.421,-1.0
855,92g39rLJmJYep4JvZZh7mQ3z69t4yGkupA1WucBuWzyo,0.007,-29.04,65.006,29.047,inf
12160,3KN3893QSvVZmMdswtYaRh81HSC7Hiv1eMnpnh1A7QkX,2442.46,1500.0,64.369,942.46,0.628
9042,GfoakHiHCVZfHrDq2yWwoe33DEw7AXFUKW8qrnPLmFTj,0.002,189.97,64.273,-189.968,-1.0
14256,9K6VGoBzTmn6VwcedSYKuA2uH9C5W6Vg5JNCX53cBPpD,0.009,10249.01,64.078,-10249.001,-1.0
7544,2jfpgHwXbnsik9Aqy1LNQHYNnMoz8KXfDBgPvBKvKb6Y,0.006,67.47,63.862,-67.464,-1.0
10725,7sk2GzufnZnrLMtMNqwJfkV1t64TpioRy4Ujf1aDCH2T,0.003,81.77,63.833,-81.767,-1.0
768,CVwJsKjMz3S9uvAVkTMeGxqqFp6BpJfxzDrB35zmt12k,7159.034,10000.0,63.539,-2840.966,-0.284
1994,FfmzhKXKAzutHZNoEqL44awtdxocZSYbSjEAe5dFcCEi,0.005,-71.1,63.456,71.105,inf
8366,BZWp63AK7ofzrzHomQZXYkB7DVButhDtpexCRgXsBuiC,1757.439,2185.0,63.41,-427.561,-0.196
13204,FUYz9DSwA2euprXVwHHNgTMzni6E3YSVAuUrf5ZGHDsy,0.002,1550.14,63.386,-1550.138,-1.0
6688,AX2VRZoWZDfZT4QdwuXUSyRCx4N6B9eHAR75FSmcrVFG,575.049,941.0,63.303,-365.951,-0.389
1679,HrfP6P2EzbdnpQjQzYFPWuuHibKFTu5b6WTqd4jMKufM,0.01,55.81,63.239,-55.8,-1.0
14007,E9rBy83CMWAwEwq3qqm9V779A7uT9b4uQn3rqteuXT5R,5.009,67.43,62.724,-62.421,-0.926
13967,ArEVZBhB7Rf7BvRwqu7p5BWg7GHREfWdrott5tJUPs2D,354.055,-800.0,62.708,1154.055,inf
11499,DoXURrjJmc8BuSfgNbuDWgt7rokiRgQN3LewZqiUfUgW,1593.347,2958.0,62.668,-1364.653,-0.461
7849,AJixWopFCBb89LqYtnPTFASWPFDCP1C4d6jdRACHtk9E,0.005,-429.54,62.342,429.545,inf
12738,B6Wc3euMqUf6QjzCqDtNeAEUM7MvADFaiReEq9VYH2Qg,86.328,3337.0,62.309,-3250.672,-0.974
9365,8Ci5UbpoAFL5sAj4jeKwADceYrDxKQktXJnn1Vwgug5m,0.924,-2369.18,62.205,2370.104,inf
6302,3Wu2RbcSBJbLagy6sToayjN22pVvgGLPkq2aBGSFbpQe,0.008,40.17,61.985,-40.162,-1.0
1316,Gfhd7CReDq9fCVbVC9PWXtjgU1V4FbmCqijpJx3hpwbb,11894.48,10000.0,61.964,1894.48,0.189
1365,FDxmgdXDyVzQuMRydb9dCm71chEkwYsM4xtwqvTWUNZC,485.124,3027.7,61.942,-2542.576,-0.84
5228,2zaxc2RMbLYZjSpDAZ7kr1aW3bT3HHemKspbTYoZ4Jds,31904.604,30968.0,61.92,936.604,0.03
8145,CtTu7Sm23a5AoNw4Wy56xcpizxUQKh7nBfr2GmU6CiG2,3773.165,3892.0,61.901,-118.835,-0.031
707,AAF6Q6RzwodXv7epFDCFg2wjsJNXgYgC7f1YgtaindqB,0.0,478.94,61.727,-478.94,-1.0
7069,AbP5ZCy9TBukhouAPAAeskA5pq5yu5iC4pUTnPCdMSGX,0.001,-79.97,61.037,79.971,inf
11889,APkYocxQ6tyDDnBtJ2Q5Uss6dfdyRD9QNj6CRKK6Wd89,8.707,77.45,60.813,-68.743,-0.888
151,9Hm4Vec2ZGz1hUPfYdzWNspEvgcMBkk7MDUA3HLo7wBs,53.947,86.2,60.807,-32.253,-0.374
4812,pKHjCQQq7DtT6xHVpsiz6i2F7QpthuJ8jALg4Qn3kVu,0.003,-5.6,60.725,5.603,inf
3409,81GV2H9ipJSZD6YpJGj2XQNfoUroWWnKfwMHGSwvhixd,0.0,900.0,60.565,-900.0,-1.0
12437,3c6RmXqA7Z4czLnjKKnZFNZWB1wJ1zaoAu7Z9einojQV,59.411,-104.27,60.255,163.681,inf
8968,7PW8PgPEqNTJBcYMq465vWq9VhL5n5jd1CccozqSNgC,2135.914,1000.0,60.107,1135.914,1.136
1461,J6fp6oXQb5YJGioxuhJUebX7xK2hZssVmLZWEP5Ztw6x,955.935,446.78,60.005,509.155,1.14
10893,6Yp3F4fvuE6BWGPZdCmLnMB2bKFVVn6WReiSHpVaCYpm,955.931,1600.115,59.941,-644.184,-0.403
14310,8WwYs6j3x7mTNRAwzp5mj7G7uCKHVZrTtNH2WhLe2Xk4,0.001,239.14,59.689,-239.139,-1.0
3702,9v4joeGW2sCKBvWGbTd6HEZDbu6hzci99AhfgQCJAkXe,0.005,-1765.13,59.6,1765.135,inf
11050,AUBYLYH8Qow4v1oRVKAbEeY87WbRpQDc917dS6cSA2ZX,5703.25,1500.0,59.441,4203.25,2.802
4616,HVAEpPMQdeAYE1mbiXrqDMQdfw2dnLoRPHmfVaKMtGQS,0.004,-1495.89,59.403,1495.894,inf
5863,2hirR46fpyHEg1Fv9vAzYgnoNRBWaky7LoFGVof4DnpK,0.0,181.01,59.383,-181.01,-1.0
10194,A7SMcwnq3DewryUj1jScnAboKGnuDVcW15F3ubNcG66Y,12.815,101.0,58.799,-88.185,-0.873
13346,H8wYaRqc2wQuE3AdnSA2bCbukzxZEUCS5KbGYNsLAoho,0.003,-12.89,58.745,12.893,inf
13010,7pzCrvrYvwNWSgD8YaL7Ly76SRsPmSGbMGBSyQwjaPQC,0.0,2948.93,58.689,-2948.93,-1.0
12782,3aDPJiuydGDUcHZVVhGhyhnZ55QbBdxsmymVmhZBaa1f,0.007,-1767.43,58.418,1767.437,inf
4864,EsaHesewuGo47azzjj4Aq6dPpRdTkwcjVwfCpvfA9cbE,0.001,2169.85,58.366,-2169.849,-1.0
168,39fywxjNDqE5AbT6g1MwY3Lc778FHZep3M6jk3CjqNEi,0.007,13.05,58.329,-13.043,-0.999
527,ArowGvJebfbVUTdFhjCyQK7kCBsNWbvFzSVJDPGjTPHN,5057.03,5000.0,57.83,57.03,0.011
5569,87Hjq9L9D2QZ941cywhioTFvN18a1xJLEfMrtcWDHop1,0.004,57.61,57.769,-57.606,-1.0
8737,2ThijwUphey4CsCyBTf8UVqdKW64wgvAi2SVfo7ghDnc,0.009,-91.36,57.551,91.369,inf
10241,Ap1LDkmRLdVBCGZ8vqmUxRjjRoUwFFLEPRW4pXWuGqXY,0.009,1604.39,57.138,-1604.381,-1.0
4260,BMGCrCfdPEZxAeu95VzNTan9D5vdPGS6TpzfB8FmDxs6,0.009,8.41,56.959,-8.401,-0.999
7594,ENhTPRyFDWfmR1njSSSCc1eMVBhMAf9BEp5DE1KBj2oN,0.003,193.49,56.955,-193.487,-1.0
6574,34USVFXvyy6DckMn7aHaZiN8gZZn4Lh572ShyVRjxEGk,2.176,1585.988,56.527,-1583.812,-0.999
2753,5jQDzPCavQ2Dm1Vy7q3DxmUXda3z6TGQyUebWX8XKyr7,0.003,-1250.58,55.99,1250.583,inf
10516,9ee2oNkfG5vg6JqH6yFbU2YDSMLZigH8KxExCTSYYQeA,0.002,53.87,55.594,-53.868,-1.0
3831,BPMpj5Ykmznwa2hW5T4Deq7wYqyiTQGUKPrYEVfVJ524,0.006,-44.29,55.553,44.296,inf
7696,ANLTCeyLWJR5TaDazhoTYtG6gHebymHoc426RmQ6jRhs,0.005,-163.94,55.526,163.945,inf
2880,6qqBmN3Mmy56gXvtBwLUyQwJoh2cYKmMtP61Po9xgxRj,22.54,337.71,55.415,-315.17,-0.933
9557,21GKtbawYmh7853mfgWuFxgokmQgaBXeh8wxHmLmcRqd,0.009,82.38,55.305,-82.371,-1.0
2311,63RJUGNb2mPuiVvqCacwZ9BDvnqoPuBFbogvHNZukUSW,657.78,570.11,55.151,87.67,0.154
14559,A5vP7ByVjyU1F5m418fBkQjnd62xKcFdCXUT7mZNotc2,0.008,185.03,55.137,-185.022,-1.0
1315,HfRYJ7kAmKjFVkVyFWGYESzWRGvbiceTrfEc4yhPQ8my,6220.094,5700.0,54.929,520.094,0.091
8764,3UQbiXxgDPmWz3xAKEMHCV3EpjN5DAHEusMGSYsmk46T,0.01,1736.26,54.656,-1736.25,-1.0
9287,E5KDZriZ89a5D4VsMaWxndMMG68RT4weruJ1tCEc6tSx,0.0,10000.0,54.587,-10000.0,-1.0
10946,HfsGMDW4SPTjjX1s1SRsjbJEgSw1765VHezqFeLVVWyS,59.273,52.15,54.503,7.123,0.137
9230,HqtTbC1LFreGvgfpZe7nCqkNnh8GHPQKosfmc19zb1yi,0.009,1599.29,54.252,-1599.281,-1.0
697,A2HGni6R2NbypSzdh59T6Mm4kVNAbM4fJLSnS4obxYVL,0.004,-135.26,54.19,135.264,inf
2395,4awZfAt33QrNYKMeD8E2nthMEiK4td4HCn8YBsypDBoD,0.003,54.5,53.986,-54.497,-1.0
4728,BFypz2wBmMPAdrAAcdrdh3GaMaPtdkqKhxV9z9no5vso,505.703,537.0,53.889,-31.297,-0.058
5264,2edg1GQ6N7FZpnxZP1CwwacbFEsKwSioYaLovatbZGmy,54.37,100.0,53.758,-45.63,-0.456
6000,297iLnMaHVrJijbamam7xTCMwb5aqzVxT32tjGDWJ8q1,0.001,1736.5,53.631,-1736.499,-1.0
10088,BQYbbwd1MLtj6fBuBiTncAaXdAqKWa1JbcbGkZbLA728,14571.638,16000.0,53.543,-1428.362,-0.089
6920,3XZLp6JyrQYnufa1obczXqmK6cNR29ZMW1FdCYbWNTCP,0.0,55.04,53.373,-55.04,-1.0
5188,5mQ4ZHgeR2fJDKFUGm7YNfy8mSYmzxDdZcDQaSNp9T6k,0.002,63.667,53.278,-63.665,-1.0
10376,ADJrrV4CdBSTT7xPEBRmZCHQTDdyDSkd2hTwssFE3tEt,0.007,90.81,53.244,-90.803,-1.0
9198,7bxRdndUGujNUFX4aCco5Et3KsdnzcGhx7eUjZFxQERn,0.003,53.98,53.24,-53.977,-1.0
7624,BWoWsmfJcv5v8B1VoiougRcWAGX9kj1rvmuhPvcWWpXw,3356.528,1500.0,52.901,1856.528,1.238
13131,97LM8V5pm81YG2gg5iA2qst1oJBHZb5Gj9Pagcb5AH59,0.007,69.37,52.814,-69.363,-1.0
11080,HnmeXzVUJA8UWxZVzXCnkUaUY1LfStUK55rVXcBA8w17,385.237,400.0,52.749,-14.763,-0.037
4825,CVjkHr29t8pzeXU1U1CdMpT6qwf9Jw4XGxvxU7RURPYj,40.395,182.0,52.622,-141.605,-0.778
11914,6pNkoTnwqqgard68RQyUPjXnkWzmk2o69BYo21bAEJ6t,0.008,301.99,52.526,-301.982,-1.0
4673,DVyXADyeL9boS2pUVP22NxNtD4mvXn9DbJajd62gezGS,0.004,91.27,52.477,-91.266,-1.0
5550,A1hdbrw4x1nYME7zBqrGYTtZxYL2Duu1gKReApCanyrC,282.512,498.0,52.428,-215.488,-0.433
11478,5nRwBMUrm9zpyVueMcAas6kauSLJdQL4jHowL1AC54nR,0.001,447.38,52.276,-447.379,-1.0
11575,AMyKEk1HEpSCHMJLGwxTdKndnQ2ZNN3skpx97xYMTqCn,0.006,-916.31,52.261,916.316,inf
8908,5abJmqcRn8KrtpL85g7ngLdphagkgw7A9m8mr77mkiRn,0.002,-676.71,51.969,676.712,inf
7264,E77Z12M5p16F3PAdVheWjRUVEWR4SBimjyfHa47Lf24z,0.008,31.32,51.896,-31.312,-1.0
4107,2yfFeU4iAdBGX6k2R7quWCWJvFxcjKEdsKcyfevkFaSm,0.003,-111.06,51.703,111.063,inf
7009,5QhfNFW6Mbbg6Wbkvh14Jx7XgqBfgUXfcBYWDrQExSEA,101064.556,100000.0,51.308,1064.556,0.011
961,EGkPkdtvs9nNCh3P44PoXJ1f3ZUEti4NaT1RzF1p4A4a,1962.825,1500.0,51.295,462.825,0.309
4963,BFWNfNhm4RUFJs3721We8Dyocw1okinoUA3JtHshAHkU,1521.304,1597.0,51.073,-75.696,-0.047
7525,DDfVnNfi27g79bP3zdVpD8QuphKptjEPSa1qb71asR46,3953.014,1500.0,50.905,2453.014,1.635
7269,HyXpawUy6nWf4vJqyRaLVSrvhc2Xc2FXJiWufAvTAanf,3007.718,1500.0,50.709,1507.718,1.005
7065,DB9w2Gt3keXipbmfMMwXJLTmMLEB2kBG3V13T3jcx6Zy,0.007,829.63,50.601,-829.623,-1.0
14172,5183j41gwiGs5W83GcufzVpy4Srzc6nVAWQ18q8z4PbL,0.003,61.9,50.501,-61.897,-1.0
9777,2eRDrWV3XFs1uq5XrgFC4v4JEiqhwegqiBQSKHLtdBLn,0.003,-505.74,50.401,505.743,inf
7099,A2gRXnnsmLvMSzZray4DJdn7dgsrZwwK8uxqnajnyZHs,0.342,87.26,50.266,-86.918,-0.996
